name	nameseq	pangolineage	date	state
171441_S34/B.1.1.194/2020-12-17/MANABI	171441_S34	B.1.1.194	2020-12-17	MANABI
171453_S28/B.1.1.194/2020-12-16/MANABI	171453_S28	B.1.1.194	2020-12-16	MANABI
171466_S49/B.1.1/2020-12-17/MANABI	171466_S49	B.1.1	2020-12-17	MANABI
171470_S46/B.1.1/2020-12-17/MANABI	171470_S46	B.1.1	2020-12-17	MANABI
171496_S44/B.1.1/2020-12-17/MANABI	171496_S44	B.1.1	2020-12-17	MANABI
171497_S41/B.1.1/2020-12-16/MANABI	171497_S41	B.1.1	2020-12-16	MANABI
171503_S38/B.1.1/2020-12-16/MANABI	171503_S38	B.1.1	2020-12-16	MANABI
171560_S59/B.1.1.135/2020-12-17/SANTA_ELENA	171560_S59	B.1.1.135	2020-12-17	SANTA_ELENA
171584_S57/B.1.1.411/2020-12-18/GUAYAS	171584_S57	B.1.1.411	2020-12-18	GUAYAS
171603_S54/B.1.1.194/2020-12-18/GUAYAS	171603_S54	B.1.1.194	2020-12-18	GUAYAS
171604_S51/B.1.1.194/2020-12-18/GUAYAS	171604_S51	B.1.1.194	2020-12-18	GUAYAS
173398_S17/B.1.1/2020-12-22/CHIMBORAZO	173398_S17	B.1.1	2020-12-22	CHIMBORAZO
173411_S18/B.1.1.348/2020-12-22/GUAYAS	173411_S18	B.1.1.348	2020-12-22	GUAYAS
173417_S19/B.1.1/2020-12-23/EL_ORO	173417_S19	B.1.1	2020-12-23	EL_ORO
173440_S21/B.1.1/2020-12-22/PICHINCHA	173440_S21	B.1.1	2020-12-22	PICHINCHA
173501_S22/B.1.1/2020-12-22/CHIMBORAZO	173501_S22	B.1.1	2020-12-22	CHIMBORAZO
173524_S23/B.1.1.121/2020-12-22/BOLIVAR	173524_S23	B.1.1.121	2020-12-22	BOLIVAR
173525_S24/B.1.1/2020-12-22/BOLIVAR	173525_S24	B.1.1	2020-12-22	BOLIVAR
173538_S25/B.1.1.411/2020-12-21/CHIMBORAZO	173538_S25	B.1.1.411	2020-12-21	CHIMBORAZO
173539_S26/B.1.1.411/2020-12-21/AZUAY	173539_S26	B.1.1.411	2020-12-21	AZUAY
173617_S9/B.1.177/2020-12-23/GUAYAS	173617_S9	B.1.177	2020-12-23	GUAYAS
173643_S10/B.1.1.194/2020-12-23/GUAYAS	173643_S10	B.1.1.194	2020-12-23	GUAYAS
173656_S11/B.1.1.194/2020-12-23/GUAYAS	173656_S11	B.1.1.194	2020-12-23	GUAYAS
173668_S12/B.1.1/2020-12-23/EL_ORO	173668_S12	B.1.1	2020-12-23	EL_ORO
173675_S13/B.1.1/2020-12-23/EL_ORO	173675_S13	B.1.1	2020-12-23	EL_ORO
173676_S14/B.1.1.348/2020-12-23/EL_ORO	173676_S14	B.1.1.348	2020-12-23	EL_ORO
